Date,IBM,INTC,MSFT
2020-01-02,129.46463012695312,60.84000015258789,160.6199951171875
2020-01-03,128.43212890625,60.099998474121094,158.6199951171875
2020-01-06,128.2026824951172,59.93000030517578,159.02999877929688
2020-01-07,128.28871154785156,58.93000030517578,157.5800018310547
2020-01-08,129.35946655273438,58.970001220703125,160.08999633789062
2020-01-09,130.72657775878906,59.29999923706055,162.08999633789062
2020-01-10,130.67877197265625,58.939998626708984,161.33999633789062
2020-01-13,130.5927276611328,59.59000015258789,163.27999877929688
2020-01-14,129.84703063964844,59.43000030517578,162.1300048828125
2020-01-15,130.6118621826172,58.939998626708984,163.17999267578125
2020-01-16,131.91204833984375,59.65999984741211,166.1699981689453
2020-01-17,132.2275390625,59.599998474121094,167.10000610351562
2020-01-21,133.04971313476562,60.54999923706055,166.5
2020-01-22,137.5621337890625,62.72999954223633,165.6999969482422
2020-01-23,136.58700561523438,63.31999969482422,166.72000122070312
2020-01-24,134.3785858154297,68.47000122070312,165.0399932861328
2020-01-27,132.52389526367188,65.69000244140625,162.27999877929688
2020-01-28,133.41299438476562,67.30999755859375,165.4600067138672
2020-01-29,131.63479614257812,66.33000183105469,168.0399932861328
2020-01-30,130.75526428222656,66.47000122070312,172.77999877929688
2020-01-31,137.4091796875,63.93000030517578,170.22999572753906
2020-02-03,139.8374786376953,64.41999816894531,174.3800048828125
2020-02-04,142.55258178710938,65.45999908447266,180.1199951171875
2020-02-05,149.45506286621094,67.33999633789062,179.89999389648438
2020-02-06,149.86614990234375,67.08999633789062,183.6300048828125
2020-02-07,146.66348266601562,66.0199966430664,183.88999938964844
2020-02-10,147.6386260986328,66.38999938964844,188.6999969482422
2020-02-11,146.73040771484375,67.41000366210938,184.44000244140625
2020-02-12,148.47991943359375,67.45999908447266,184.7100067138672
2020-02-13,147.52389526367188,67.44000244140625,183.7100067138672
2020-02-14,144.07266235351562,67.2699966430664,185.35000610351562
2020-02-18,144.45506286621094,66.13999938964844,187.22999572753906
2020-02-19,144.22561645507812,67.11000061035156,187.27999877929688
2020-02-20,144.56979370117188,65.44999694824219,184.4199981689453
2020-02-21,143.25047302246094,64.33999633789062,178.58999633789062
2020-02-24,139.9904327392578,61.7599983215332,170.88999938964844
2020-02-25,135.47801208496094,59.72999954223633,168.07000732421875
2020-02-26,133.6042022705078,59.650001525878906,170.1699981689453
2020-02-27,127.25621032714844,55.83000183105469,158.17999267578125
2020-02-28,124.42638397216797,55.52000045776367,162.00999450683594
2020-03-02,128.3938751220703,58.18000030517578,172.7899932861328
2020-03-03,123.23136138916016,55.970001220703125,164.50999450683594
2020-03-04,128.31739807128906,58.68000030517578,170.5500030517578
2020-03-05,123.85277557373047,56.959999084472656,166.27000427246094
2020-03-06,122.11280822753906,55.77000045776367,161.57000732421875
2020-03-09,112.62906646728516,50.849998474121094,150.6199951171875
2020-03-10,119.2829818725586,53.97999954223633,160.9199981689453
2020-03-11,112.78202819824219,51.65999984741211,153.6300048828125
2020-03-12,98.2887191772461,45.540000915527344,139.05999755859375
2020-03-13,103.20267486572266,54.43000030517578,158.8300018310547
2020-03-16,94.7227554321289,44.61000061035156,135.4199981689453
2020-03-17,101.95984649658203,50.08000183105469,146.57000732421875
2020-03-18,98.99617767333984,47.61000061035156,140.39999389648438
2020-03-19,95.9273452758789,45.939998626708984,142.7100067138672
2020-03-20,91.19503021240234,45.83000183105469,137.35000610351562
2020-03-23,90.602294921875,49.58000183105469,135.97999572753906
2020-03-24,100.84130096435547,52.400001525878906,148.33999633789062
2020-03-25,101.19503021240234,51.2599983215332,146.9199981689453
2020-03-26,107.92543029785156,55.540000915527344,156.11000061035156
2020-03-27,103.27915954589844,52.369998931884766,149.6999969482422
2020-03-30,107.96366882324219,55.4900016784668,160.22999572753906
2020-03-31,106.05162811279297,54.119998931884766,157.7100067138672
2020-04-01,100.51625061035156,51.880001068115234,152.11000061035156
2020-04-02,105.16252136230469,54.349998474121094,155.25999450683594
2020-04-03,101.66348266601562,54.130001068115234,153.8300018310547
2020-04-06,109.77055358886719,58.43000030517578,165.27000427246094
2020-04-07,109.8852767944336,58.400001525878906,163.49000549316406
2020-04-08,114.04397583007812,58.97999954223633,165.1300048828125
2020-04-09,116.15679168701172,57.13999938964844,165.13999938964844
2020-04-13,115.82218170166016,58.70000076293945,165.50999450683594
2020-04-14,118.46080017089844,60.65999984741211,173.6999969482422
2020-04-15,113.4703598022461,58.869998931884766,171.8800048828125
2020-04-16,110.64053344726562,60.790000915527344,177.0399932861328
2020-04-17,114.83747863769531,60.36000061035156,178.60000610351562
2020-04-20,115.1147232055664,59.18000030517578,175.05999755859375
2020-04-21,111.62523651123047,56.36000061035156,167.82000732421875
2020-04-22,114.06309509277344,60.099998474121094,173.52000427246094
2020-04-23,116.01338195800781,59.040000915527344,171.4199981689453
2020-04-24,119.23518371582031,59.2599983215332,174.5500030517578
2020-04-27,120.38240814208984,59.470001220703125,174.0500030517578
2020-04-28,120.7170181274414,58.75,169.80999755859375
2020-04-29,123.03059387207031,61.79999923706055,177.42999267578125
2020-04-30,120.03823852539062,59.97999954223633,179.2100067138672
2020-05-01,116.51051330566406,57.470001220703125,174.57000732421875
2020-05-04,116.32887268066406,57.9900016784668,178.83999633789062
2020-05-05,117.18929290771484,58.75,180.75999450683594
2020-05-06,117.75334930419922,59.18000030517578,182.5399932861328
2020-05-07,115.8986587524414,59.16999816894531,183.60000610351562
2020-05-08,117.58126068115234,59.66999816894531,184.67999267578125
2020-05-11,117.1988525390625,60.130001068115234,186.74000549316406
