Date,AAPL,C,DIS,META
2018-01-02,43.064998626708984,74.36000061035156,111.80000305175781,181.4199981689453
2018-01-03,43.057498931884766,74.58999633789062,112.27999877929688,184.6699981689453
2018-01-04,43.25749969482422,75.51000213623047,112.2300033569336,184.3300018310547
2018-01-05,43.75,75.41000366210938,111.62000274658203,186.85000610351562
2018-01-08,43.587501525878906,74.52999877929688,110.0199966430664,188.27999877929688
2018-01-09,43.58250045776367,75.30999755859375,109.94000244140625,187.8699951171875
2018-01-10,43.5724983215332,75.6500015258789,109.47000122070312,187.83999633789062
2018-01-11,43.81999969482422,75.55999755859375,110.98999786376953,187.77000427246094
2018-01-12,44.272499084472656,76.83999633789062,112.47000122070312,179.3699951171875
2018-01-16,44.04750061035156,77.11000061035156,110.69000244140625,178.38999938964844
2018-01-17,44.775001525878906,77.47000122070312,111.97000122070312,177.60000610351562
2018-01-18,44.814998626708984,77.38999938964844,110.41999816894531,179.8000030517578
2018-01-19,44.6150016784668,78.30000305175781,110.58999633789062,181.2899932861328
2018-01-22,44.25,78.58999633789062,111.0999984741211,185.3699951171875
2018-01-23,44.2599983215332,78.55000305175781,110.41000366210938,189.35000610351562
2018-01-24,43.55500030517578,79.44999694824219,110.5,186.5500030517578
2018-01-25,42.77750015258789,79.44000244140625,110.55000305175781,187.47999572753906
2018-01-26,42.877498626708984,80.08000183105469,112.19000244140625,190.0
2018-01-29,41.9900016784668,79.95999908447266,111.54000091552734,185.97999572753906
2018-01-30,41.74250030517578,78.62000274658203,110.11000061035156,187.1199951171875
2018-01-31,41.85749816894531,78.4800033569336,108.66999816894531,186.88999938964844
2018-02-01,41.94499969482422,79.19999694824219,110.48999786376953,193.08999633789062
2018-02-02,40.125,77.0199966430664,108.69999694824219,190.27999877929688
2018-02-05,39.122501373291016,73.2699966430664,104.69999694824219,181.25999450683594
2018-02-06,40.75749969482422,74.81999969482422,106.16999816894531,185.30999755859375
2018-02-07,39.8849983215332,74.98999786376953,104.76000213623047,180.17999267578125
2018-02-08,38.787498474121094,71.87000274658203,101.3499984741211,171.5800018310547
2018-02-09,39.102500915527344,73.68000030517578,103.08999633789062,176.11000061035156
2018-02-12,40.6775016784668,74.76000213623047,103.38999938964844,176.41000366210938
2018-02-13,41.084999084472656,75.18000030517578,104.12000274658203,173.14999389648438
2018-02-14,41.842498779296875,76.70999908447266,104.5999984741211,179.52000427246094
2018-02-15,43.247501373291016,77.08000183105469,105.18000030517578,179.9600067138672
2018-02-16,43.10749816894531,76.81999969482422,106.52999877929688,177.36000061035156
2018-02-20,42.962501525878906,76.45999908447266,105.9800033569336,176.00999450683594
2018-02-21,42.76750183105469,77.0,105.05000305175781,177.91000366210938
2018-02-22,43.125,76.2699966430664,105.23999786376953,178.99000549316406
2018-02-23,43.875,77.08000183105469,107.25,183.2899932861328
2018-02-26,44.74250030517578,77.6500015258789,109.80999755859375,184.92999267578125
2018-02-27,44.59749984741211,76.37999725341797,104.87000274658203,181.4600067138672
2018-02-28,44.529998779296875,75.48999786376953,103.16000366210938,178.32000732421875
2018-03-01,43.75,73.66000366210938,102.56999969482422,175.94000244140625
2018-03-02,44.0525016784668,73.68000030517578,102.98999786376953,176.6199951171875
2018-03-05,44.20500183105469,74.41999816894531,103.41000366210938,180.39999389648438
2018-03-06,44.16749954223633,74.05999755859375,104.94000244140625,179.77999877929688
2018-03-07,43.75749969482422,73.91999816894531,103.58999633789062,183.7100067138672
2018-03-08,44.23500061035156,74.11000061035156,104.02999877929688,182.33999633789062
2018-03-09,44.994998931884766,76.11000061035156,104.7300033569336,185.22999572753906
2018-03-12,45.43000030517578,76.0199966430664,105.16999816894531,184.75999450683594
2018-03-13,44.99250030517578,74.91000366210938,103.7300033569336,181.8800048828125
2018-03-14,44.61000061035156,73.47000122070312,103.9000015258789,184.19000244140625
2018-03-15,44.662498474121094,73.33999633789062,103.23999786376953,183.86000061035156
2018-03-16,44.505001068115234,73.47000122070312,102.87000274658203,185.08999633789062
2018-03-19,43.82500076293945,72.69999694824219,101.4800033569336,172.55999755859375
2018-03-20,43.810001373291016,72.91999816894531,101.3499984741211,168.14999389648438
2018-03-21,42.817501068115234,73.31999969482422,101.81999969482422,169.38999938964844
2018-03-22,42.212501525878906,70.30999755859375,100.5999984741211,164.88999938964844
2018-03-23,41.23500061035156,67.9000015258789,98.54000091552734,159.38999938964844
2018-03-26,43.192501068115234,69.77999877929688,100.6500015258789,160.05999755859375
2018-03-27,42.084999084472656,68.27999877929688,99.36000061035156,152.22000122070312
2018-03-28,41.619998931884766,68.26000213623047,98.54000091552734,153.02999877929688
2018-03-29,41.94499969482422,67.5,100.44000244140625,159.7899932861328
2018-04-02,41.66999816894531,67.70999908447266,98.66000366210938,155.38999938964844
2018-04-03,42.09749984741211,68.4800033569336,99.41999816894531,156.11000061035156
2018-04-04,42.90250015258789,69.30999755859375,100.94999694824219,155.10000610351562
2018-04-05,43.20000076293945,70.22000122070312,102.11000061035156,159.33999633789062
2018-04-06,42.095001220703125,68.5999984741211,100.3499984741211,157.1999969482422
2018-04-09,42.51250076293945,69.44000244140625,99.69999694824219,157.92999267578125
2018-04-10,43.3125,70.51000213623047,101.37000274658203,165.0399932861328
2018-04-11,43.11000061035156,69.88999938964844,100.80000305175781,166.32000732421875
2018-04-12,43.53499984741211,72.12999725341797,100.38999938964844,163.8699951171875
2018-04-13,43.682498931884766,71.01000213623047,100.3499984741211,164.52000427246094
2018-04-16,43.95500183105469,70.06999969482422,100.23999786376953,164.8300018310547
